SOL RATIO N_D MAXdP
014 0.790 001 -2.01
015 1.000 001 -2.28
016 1.000 000 0.00
017 1.000 000 0.00
018 1.000 000 0.00
019 1.000 003 -5.76
020 1.000 000 0.00
021 1.000 001 -2.16
022 0.906 000 0.00
023 1.000 000 0.00
024 1.000 001 -3.75
025 1.000 000 0.00
026 1.000 003 -4.00
027 1.000 000 0.00
028 1.000 000 0.00
029 1.000 004 -3.67
032 0.995 000 0.00
033 1.000 001 -3.36
034 1.000 001 -3.38
035 1.000 000 0.00
036 1.000 000 0.00
037 0.671 000 0.00
038 1.000 002 -3.10
039 1.000 003 -5.67
040 1.000 000 0.00
041 1.000 000 0.00
042 1.000 000 0.00
043 1.000 000 0.00
044 1.000 001 -2.87
045 1.000 000 0.00
046 1.000 000 0.00
047 1.000 000 0.00
048 0.997 000 0.00
049 1.000 001 -2.80
050 1.000 000 0.00
051 1.000 000 0.00
052 1.000 001 -3.11
053 1.000 000 0.00
054 1.000 000 0.00
055 1.000 001 -2.11
056 1.000 000 0.00
057 1.000 001 -2.98
058 1.000 000 0.00
059 1.000 000 0.00
060 1.000 000 0.00
061 1.000 000 0.00
062 1.000 000 0.00
063 1.000 000 0.00
064 1.000 000 0.00
065 1.000 002 -9.18
066 0.805 000 0.00
067 1.000 000 0.00
068 1.000 000 0.00
069 1.000 000 0.00
070 1.000 000 0.00
071 1.000 000 0.00
072 1.000 001 -3.62
073 1.000 000 0.00
074 1.000 000 0.00
075 1.000 001 -2.20
076 0.758 001 -2.47
077 1.000 000 0.00
078 1.000 000 0.00
079 1.000 000 0.00
080 1.000 000 0.00
081 1.000 000 0.00
082 1.000 000 0.00
083 1.000 000 0.00
084 1.000 000 0.00
085 1.000 000 0.00
086 1.000 000 0.00
087 1.000 000 0.00
088 1.000 000 0.00
089 1.000 000 0.00
090 1.000 000 0.00
091 1.000 001 -2.30
092 0.997 000 0.00
094 1.000 000 0.00
095 1.000 000 0.00
096 1.000 000 0.00
097 1.000 000 0.00
098 1.000 000 0.00
099 1.000 000 0.00
100 1.000 000 0.00
101 1.000 000 0.00
102 1.000 000 0.00
103 1.000 000 0.00
104 1.000 000 0.00
105 1.000 001 -2.95
106 1.000 000 0.00
107 1.000 000 0.00
108 0.996 000 0.00
112 0.987 000 0.00
113 1.000 000 0.00
114 1.000 000 0.00
115 1.000 001 -2.24
116 1.000 001 -2.47
117 1.000 000 0.00
118 1.000 000 0.00
119 1.000 000 0.00
123 1.000 000 0.00
124 1.000 000 0.00
125 1.000 000 0.00
126 1.000 000 0.00
127 1.000 000 0.00
128 1.000 000 0.00
129 1.000 001 -2.07
130 1.000 000 0.00
131 1.000 000 0.00
132 1.000 000 0.00
133 1.000 000 0.00
134 1.000 000 0.00
135 1.000 000 0.00
136 1.000 000 0.00
137 1.000 000 0.00
138 1.000 001 -2.97
139 1.000 000 0.00
140 1.000 000 0.00
141 1.000 001 -2.19
142 1.000 000 0.00
143 1.000 000 0.00
144 1.000 000 0.00
145 1.000 000 0.00
146 1.000 000 0.00
147 1.000 000 0.00
148 1.000 002 -3.69
149 1.000 000 0.00
150 1.000 000 0.00
151 1.000 000 0.00
152 1.000 000 0.00
153 1.000 000 0.00
154 1.000 000 0.00
155 1.000 001 -2.21
156 1.000 001 -2.17
157 1.000 000 0.00
158 1.000 001 -2.46
159 1.000 000 0.00
160 1.000 000 0.00
161 1.000 000 0.00
162 1.000 001 -2.33
163 1.000 001 -2.23
164 1.000 000 0.00
165 1.000 000 0.00
166 1.000 001 -4.08
167 1.000 001 -3.01
168 1.000 003 -3.49
169 1.000 000 0.00
170 1.000 002 -5.18
171 0.996 002 -3.65
172 1.000 002 -2.52
173 1.000 002 -2.26
174 1.000 000 0.00
175 1.000 000 0.00
176 1.000 001 -2.11
177 1.000 002 -3.35
178 1.000 001 -3.80
179 1.000 001 -3.13
180 1.000 001 -2.31
181 1.000 000 0.00
182 1.000 000 0.00
183 1.000 000 0.00
184 1.000 000 0.00
185 1.000 000 0.00
186 1.000 000 0.00
187 1.000 001 -3.05
188 1.000 001 -3.12
190 1.000 000 0.00
191 1.000 001 -4.91
192 1.000 000 0.00
193 1.000 002 -2.87
194 1.000 000 0.00
195 1.000 001 -2.06
196 1.000 001 -2.90
197 1.000 001 -3.03
198 1.000 001 -2.34
199 1.000 000 0.00
200 1.000 000 0.00
201 1.000 001 -2.76
202 1.000 000 0.00
203 1.000 003 -3.46
204 1.000 001 -2.09
205 1.000 000 0.00
206 1.000 000 0.00
207 1.000 000 0.00
208 1.000 001 -2.70
209 1.000 000 0.00
210 1.000 001 -2.46
211 1.000 001 -3.76
212 1.000 001 -2.53
213 1.000 001 -2.10
214 1.000 000 0.00
215 1.000 000 0.00
216 1.000 001 -3.57
217 0.543 001 -2.03
218 1.000 000 0.00
219 1.000 000 0.00
220 1.000 001 -2.22
