_DROP_ ; _LTST_ ; SOL ; YYYY-MM-DDTHH:MM:SS.sss ; RATIO
-9.183 ; 13.534 ; 065 ; 2019-032T14:52:02.677Z ; 1.000
-5.762 ; 14.131 ; 019 ; 2018-350T09:02:14.029Z ; 1.000
-5.667 ; 12.727 ; 039 ; 2019-005T20:52:02.080Z ; 1.000
-5.181 ; 14.158 ; 170 ; 2019-140T12:17:20.123Z ; 1.000
-4.908 ; 11.344 ; 191 ; 2019-161T23:07:24.537Z ; 1.000
-4.817 ; 13.705 ; 019 ; 2018-350T08:35:57.061Z ; 1.000
-4.075 ; 12.831 ; 166 ; 2019-136T08:18:41.769Z ; 1.000
-4.053 ; 11.994 ; 065 ; 2019-032T13:17:05.767Z ; 1.000
-4.002 ; 13.781 ; 026 ; 2018-357T13:19:47.904Z ; 1.000
-3.842 ; 12.736 ; 026 ; 2018-357T12:15:20.476Z ; 1.000
-3.799 ; 14.099 ; 178 ; 2019-148T17:27:23.739Z ; 1.000
-3.761 ; 14.215 ; 211 ; 2019-182T15:09:08.859Z ; 1.000
-3.746 ; 12.238 ; 024 ; 2018-355T10:24:54.536Z ; 1.000
-3.715 ;  9.396 ; 170 ; 2019-140T07:23:51.027Z ; 1.000
-3.693 ; 11.112 ; 148 ; 2019-117T18:47:00.543Z ; 1.000
-3.666 ; 13.926 ; 029 ; 2018-360T15:28:14.400Z ; 1.000
-3.646 ; 12.755 ; 171 ; 2019-141T11:30:04.140Z ; 0.996
-3.615 ; 12.744 ; 072 ; 2019-039T18:39:49.695Z ; 1.000
-3.570 ; 12.746 ; 216 ; 2019-187T16:54:53.370Z ; 1.000
-3.487 ; 11.568 ; 168 ; 2019-138T08:19:17.785Z ; 1.000
-3.455 ; 10.164 ; 203 ; 2019-174T05:45:31.251Z ; 1.000
-3.384 ; 12.478 ; 034 ; 2018-365T17:17:56.078Z ; 1.000
-3.375 ; 13.162 ; 168 ; 2019-138T09:57:30.565Z ; 1.000
-3.374 ; 11.074 ; 148 ; 2019-117T18:44:39.546Z ; 1.000
-3.363 ; 11.642 ; 033 ; 2018-364T15:46:34.320Z ; 1.000
-3.351 ; 11.523 ; 177 ; 2019-147T14:09:24.220Z ; 1.000
-3.131 ; 11.040 ; 179 ; 2019-149T14:58:05.086Z ; 1.000
-3.124 ; 10.000 ; 188 ; 2019-158T19:46:55.371Z ; 1.000
-3.107 ; 14.993 ; 052 ; 2019-019T07:47:32.797Z ; 1.000
-3.100 ; 11.759 ; 038 ; 2019-004T19:12:35.559Z ; 1.000
-3.050 ; 12.900 ; 187 ; 2019-157T22:06:25.918Z ; 1.000
-3.027 ; 13.583 ; 197 ; 2019-168T05:20:49.726Z ; 1.000
-3.007 ; 11.767 ; 167 ; 2019-137T07:52:21.162Z ; 1.000
-2.982 ; 12.430 ; 057 ; 2019-024T08:27:32.309Z ; 1.000
-2.969 ; 11.955 ; 138 ; 2019-107T13:06:41.852Z ; 1.000
-2.953 ; 11.673 ; 105 ; 2019-073T15:13:38.535Z ; 1.000
-2.901 ; 11.386 ; 196 ; 2019-167T02:26:09.620Z ; 1.000
-2.870 ; 12.369 ; 193 ; 2019-164T01:29:03.359Z ; 1.000
-2.867 ; 13.289 ; 044 ; 2019-011T00:45:15.227Z ; 1.000
-2.848 ; 11.192 ; 026 ; 2018-357T10:40:07.093Z ; 1.000
-2.796 ; 11.259 ; 049 ; 2019-016T01:58:25.870Z ; 1.000
-2.789 ; 12.639 ; 029 ; 2018-360T14:08:53.491Z ; 1.000
-2.762 ; 11.301 ; 201 ; 2019-172T05:37:03.840Z ; 1.000
-2.696 ; 11.784 ; 208 ; 2019-179T10:41:35.535Z ; 1.000
-2.655 ; 13.313 ; 038 ; 2019-004T20:48:27.450Z ; 1.000
-2.651 ; 12.212 ; 203 ; 2019-174T07:51:44.976Z ; 1.000
-2.530 ; 10.462 ; 212 ; 2019-183T11:57:06.594Z ; 1.000
-2.521 ; 13.032 ; 172 ; 2019-142T12:26:21.838Z ; 1.000
-2.474 ; 14.141 ; 076 ; 2019-043T22:43:50.408Z ; 0.758
-2.472 ; 14.405 ; 116 ; 2019-085T01:14:15.588Z ; 1.000
-2.465 ; 14.126 ; 210 ; 2019-181T14:24:24.536Z ; 1.000
-2.461 ; 12.875 ; 158 ; 2019-128T03:07:43.977Z ; 1.000
-2.456 ; 13.053 ; 039 ; 2019-005T21:12:09.063Z ; 1.000
-2.433 ; 15.453 ; 039 ; 2019-005T23:40:07.945Z ; 1.000
-2.371 ; 11.518 ; 193 ; 2019-164T00:36:34.324Z ; 1.000
-2.341 ; 11.247 ; 198 ; 2019-169T03:36:01.846Z ; 1.000
-2.335 ; 13.809 ; 162 ; 2019-132T06:42:10.930Z ; 1.000
-2.306 ; 12.264 ; 180 ; 2019-150T16:52:44.138Z ; 1.000
-2.297 ; 13.463 ; 091 ; 2019-059T07:53:10.680Z ; 1.000
-2.293 ; 12.631 ; 177 ; 2019-147T15:17:41.927Z ; 1.000
-2.280 ; 13.166 ; 015 ; 2018-346T05:22:57.232Z ; 1.000
-2.264 ; 10.359 ; 173 ; 2019-143T10:20:48.705Z ; 1.000
-2.236 ; 13.595 ; 115 ; 2019-083T23:45:04.115Z ; 1.000
-2.235 ; 11.265 ; 163 ; 2019-133T04:44:35.167Z ; 1.000
-2.226 ; 11.747 ; 029 ; 2018-360T13:13:53.557Z ; 1.000
-2.222 ; 14.117 ; 220 ; 2019-191T20:56:30.317Z ; 1.000
-2.219 ; 12.487 ; 172 ; 2019-142T11:52:46.376Z ; 1.000
-2.209 ; 12.394 ; 155 ; 2019-125T00:40:28.859Z ; 1.000
-2.202 ; 10.997 ; 075 ; 2019-042T18:50:34.838Z ; 1.000
-2.196 ;  9.996 ; 168 ; 2019-138T06:42:24.811Z ; 1.000
-2.195 ; 10.759 ; 141 ; 2019-110T13:50:42.238Z ; 1.000
-2.170 ; 15.607 ; 156 ; 2019-126T04:37:44.311Z ; 1.000
-2.157 ; 11.523 ; 021 ; 2018-352T07:41:12.030Z ; 1.000
-2.119 ;  9.938 ; 019 ; 2018-350T04:43:40.368Z ; 1.000
-2.113 ; 12.356 ; 176 ; 2019-146T14:21:33.419Z ; 1.000
-2.113 ; 13.367 ; 055 ; 2019-022T08:06:07.766Z ; 1.000
-2.098 ; 12.289 ; 213 ; 2019-184T14:28:58.228Z ; 1.000
-2.097 ; 13.729 ; 029 ; 2018-360T15:16:03.412Z ; 1.000
-2.094 ; 10.696 ; 204 ; 2019-175T06:57:30.559Z ; 1.000
-2.066 ; 14.070 ; 129 ; 2019-098T09:23:56.330Z ; 1.000
-2.056 ; 10.482 ; 195 ; 2019-166T00:51:13.954Z ; 1.000
-2.028 ;  9.982 ; 171 ; 2019-141T08:39:10.666Z ; 0.996
-2.027 ; 13.255 ; 217 ; 2019-188T18:13:50.907Z ; 0.543
-2.014 ; 14.606 ; 014 ; 2018-345T06:20:08.842Z ; 0.790
-2.009 ; 13.906 ; 203 ; 2019-174T09:36:08.345Z ; 1.000
-2.008 ; 13.217 ; 173 ; 2019-143T13:16:58.677Z ; 1.000
-1.993 ; 15.891 ; 018 ; 2018-349T10:10:47.526Z ; 1.000
-1.991 ; 12.406 ; 114 ; 2019-082T21:52:27.281Z ; 1.000
-1.989 ;  9.903 ; 166 ; 2019-136T05:18:14.006Z ; 1.000
-1.958 ; 12.268 ; 210 ; 2019-181T12:29:51.982Z ; 1.000
-1.957 ; 13.814 ; 177 ; 2019-147T16:30:37.238Z ; 1.000
-1.934 ; 11.326 ; 071 ; 2019-038T16:32:55.470Z ; 1.000
-1.932 ; 10.723 ; 161 ; 2019-131T02:52:43.311Z ; 1.000
-1.920 ; 13.251 ; 046 ; 2019-013T02:02:14.154Z ; 1.000
-1.899 ; 14.934 ; 203 ; 2019-174T10:39:29.681Z ; 1.000
-1.888 ; 11.517 ; 163 ; 2019-133T05:00:06.646Z ; 1.000
-1.876 ; 12.508 ; 187 ; 2019-157T21:42:15.452Z ; 1.000
-1.870 ; 11.010 ; 069 ; 2019-036T14:54:28.423Z ; 1.000
-1.847 ; 14.952 ; 037 ; 2019-003T21:49:42.910Z ; 0.671
-1.834 ; 12.130 ; 165 ; 2019-135T06:56:18.426Z ; 1.000
-1.825 ; 12.412 ; 124 ; 2019-093T04:25:30.693Z ; 1.000
-1.809 ; 12.761 ; 067 ; 2019-034T15:23:23.537Z ; 1.000
-1.799 ; 14.351 ; 089 ; 2019-057T07:29:09.449Z ; 1.000
-1.783 ; 11.960 ; 133 ; 2019-102T09:50:51.810Z ; 1.000
-1.767 ; 12.587 ; 194 ; 2019-165T02:21:42.545Z ; 1.000
-1.757 ;  9.778 ; 178 ; 2019-148T13:01:02.600Z ; 1.000
-1.745 ; 13.241 ; 182 ; 2019-152T19:11:21.606Z ; 1.000
-1.735 ; 10.104 ; 037 ; 2019-003T16:50:49.005Z ; 0.671
-1.733 ; 13.521 ; 060 ; 2019-027T11:33:29.678Z ; 1.000
-1.725 ;  9.603 ; 036 ; 2019-002T15:40:10.634Z ; 1.000
-1.721 ; 13.947 ; 219 ; 2019-190T20:06:41.985Z ; 1.000
-1.720 ;  9.699 ; 193 ; 2019-163T22:44:28.660Z ; 1.000
-1.713 ; 10.044 ; 055 ; 2019-022T04:41:16.024Z ; 1.000
-1.705 ; 12.337 ; 052 ; 2019-019T05:03:45.483Z ; 1.000
-1.700 ; 10.563 ; 131 ; 2019-100T07:06:17.212Z ; 1.000
-1.697 ; 13.225 ; 176 ; 2019-146T15:15:06.655Z ; 1.000
-1.692 ; 11.779 ; 176 ; 2019-146T13:45:58.764Z ; 1.000
-1.678 ; 13.442 ; 019 ; 2018-350T08:19:44.580Z ; 1.000
-1.673 ; 11.908 ; 190 ; 2019-160T23:02:59.125Z ; 1.000
-1.670 ; 14.012 ; 138 ; 2019-107T15:13:32.246Z ; 1.000
-1.665 ; 10.880 ; 182 ; 2019-152T16:45:50.821Z ; 1.000
-1.661 ; 11.320 ; 130 ; 2019-099T07:13:43.899Z ; 1.000
-1.616 ; 13.901 ; 132 ; 2019-101T11:11:17.615Z ; 1.000
-1.615 ; 11.420 ; 123 ; 2019-092T02:45:06.723Z ; 1.000
-1.603 ;  9.632 ; 147 ; 2019-116T16:36:32.921Z ; 1.000
-1.603 ;  9.938 ; 192 ; 2019-162T22:20:00.875Z ; 1.000
-1.585 ;  9.954 ; 220 ; 2019-191T16:39:51.027Z ; 1.000
-1.567 ; 11.352 ; 019 ; 2018-350T06:10:51.745Z ; 1.000
-1.561 ; 10.686 ; 169 ; 2019-139T08:04:08.681Z ; 1.000
-1.559 ; 13.898 ; 078 ; 2019-045T23:47:43.747Z ; 1.000
-1.557 ; 14.694 ; 081 ; 2019-049T02:35:05.643Z ; 1.000
-1.551 ; 14.562 ; 210 ; 2019-181T14:51:16.304Z ; 1.000
-1.547 ; 13.623 ; 133 ; 2019-102T11:33:20.221Z ; 1.000
-1.542 ; 10.535 ; 163 ; 2019-133T03:59:35.726Z ; 1.000
-1.542 ; 12.087 ; 020 ; 2018-351T07:36:03.065Z ; 1.000
-1.535 ; 12.944 ; 193 ; 2019-164T02:04:30.817Z ; 1.000
-1.522 ; 13.536 ; 219 ; 2019-190T19:41:24.022Z ; 1.000
-1.520 ; 15.414 ; 065 ; 2019-032T16:47:54.588Z ; 1.000
-1.515 ; 12.083 ; 083 ; 2019-051T01:12:58.561Z ; 1.000
-1.509 ; 14.894 ; 018 ; 2018-349T09:09:19.076Z ; 1.000
-1.507 ; 11.854 ; 195 ; 2019-166T02:15:47.244Z ; 1.000
-1.506 ; 13.160 ; 190 ; 2019-161T00:20:09.515Z ; 1.000
-1.491 ; 14.560 ; 069 ; 2019-036T18:33:19.177Z ; 1.000
-1.488 ; 12.986 ; 171 ; 2019-141T11:44:19.522Z ; 0.996
-1.488 ; 13.285 ; 200 ; 2019-171T07:00:08.694Z ; 1.000
-1.487 ; 13.953 ; 193 ; 2019-164T03:06:40.848Z ; 1.000
-1.481 ; 11.650 ; 183 ; 2019-153T18:12:32.011Z ; 1.000
-1.479 ; 12.428 ; 173 ; 2019-143T12:28:19.235Z ; 1.000
-1.475 ; 14.344 ; 088 ; 2019-056T06:49:22.955Z ; 1.000
-1.467 ; 14.823 ; 130 ; 2019-099T10:49:37.654Z ; 1.000
-1.453 ; 15.709 ; 037 ; 2019-003T22:36:25.369Z ; 0.671
-1.452 ; 13.870 ; 187 ; 2019-157T23:06:15.035Z ; 1.000
-1.449 ; 12.414 ; 015 ; 2018-346T04:36:36.788Z ; 1.000
-1.444 ; 11.271 ; 205 ; 2019-176T08:12:13.809Z ; 1.000
-1.439 ; 13.098 ; 018 ; 2018-349T07:18:37.198Z ; 1.000
-1.437 ; 11.568 ; 038 ; 2019-004T19:00:51.072Z ; 1.000
-1.424 ; 10.249 ; 165 ; 2019-135T05:00:22.578Z ; 1.000
-1.421 ; 13.230 ; 212 ; 2019-183T14:47:40.732Z ; 1.000
-1.416 ; 10.772 ; 051 ; 2019-018T02:47:40.265Z ; 1.000
-1.406 ; 14.800 ; 114 ; 2019-083T00:20:01.123Z ; 1.000
-1.401 ;  9.977 ; 151 ; 2019-120T19:34:39.859Z ; 1.000
-1.400 ; 13.393 ; 214 ; 2019-185T16:16:16.614Z ; 1.000
-1.400 ; 13.929 ; 118 ; 2019-087T02:03:28.574Z ; 1.000
-1.399 ; 15.518 ; 132 ; 2019-101T12:50:56.015Z ; 1.000
-1.385 ; 11.896 ; 130 ; 2019-099T07:49:13.353Z ; 1.000
-1.383 ; 14.236 ; 076 ; 2019-043T22:49:40.903Z ; 0.758
-1.376 ; 12.423 ; 081 ; 2019-049T00:15:06.801Z ; 1.000
-1.376 ; 12.659 ; 049 ; 2019-016T03:24:43.769Z ; 1.000
-1.373 ; 12.946 ; 020 ; 2018-351T08:29:00.992Z ; 1.000
-1.347 ; 12.208 ; 176 ; 2019-146T14:12:24.430Z ; 1.000
-1.347 ; 12.221 ; 160 ; 2019-130T03:45:51.733Z ; 1.000
-1.347 ; 12.249 ; 210 ; 2019-181T12:28:42.584Z ; 1.000
-1.345 ; 14.613 ; 135 ; 2019-104T13:52:52.541Z ; 1.000
-1.341 ; 13.255 ; 052 ; 2019-019T06:00:22.915Z ; 1.000
-1.337 ; 10.497 ; 128 ; 2019-097T05:04:29.071Z ; 1.000
-1.337 ; 12.986 ; 203 ; 2019-174T08:39:24.613Z ; 1.000
-1.334 ;  9.078 ; 164 ; 2019-134T03:09:00.884Z ; 1.000
-1.326 ; 15.511 ; 134 ; 2019-103T14:08:56.133Z ; 1.000
-1.321 ; 11.313 ; 198 ; 2019-169T03:40:06.639Z ; 1.000
-1.319 ; 13.798 ; 017 ; 2018-348T07:21:51.480Z ; 1.000
-1.318 ; 11.455 ; 203 ; 2019-174T07:05:03.139Z ; 1.000
-1.317 ; 13.988 ; 067 ; 2019-034T16:39:01.465Z ; 1.000
-1.312 ; 12.026 ; 021 ; 2018-352T08:12:11.990Z ; 1.000
-1.311 ; 13.051 ; 024 ; 2018-355T11:15:03.964Z ; 1.000
-1.310 ; 15.163 ; 099 ; 2019-067T14:52:50.073Z ; 1.000
-1.308 ; 15.178 ; 115 ; 2019-084T01:22:38.521Z ; 1.000
-1.295 ; 14.148 ; 023 ; 2018-354T11:42:50.807Z ; 1.000
-1.292 ; 13.515 ; 175 ; 2019-145T14:53:44.757Z ; 1.000
-1.290 ; 12.201 ; 091 ; 2019-059T06:35:24.270Z ; 1.000
-1.280 ; 14.785 ; 078 ; 2019-046T00:42:25.684Z ; 1.000
-1.279 ; 12.742 ; 200 ; 2019-171T06:26:39.841Z ; 1.000
-1.276 ; 10.516 ; 152 ; 2019-121T20:47:06.697Z ; 1.000
-1.275 ;  9.651 ; 033 ; 2018-364T13:43:47.979Z ; 1.000
-1.274 ; 11.476 ; 214 ; 2019-185T14:18:04.686Z ; 1.000
-1.273 ; 11.357 ; 017 ; 2018-348T04:51:18.675Z ; 1.000
-1.269 ; 11.283 ; 146 ; 2019-115T17:39:06.296Z ; 1.000
-1.261 ; 12.056 ; 029 ; 2018-360T13:32:55.533Z ; 1.000
-1.259 ; 13.831 ; 082 ; 2019-050T02:21:17.635Z ; 1.000
-1.258 ;  9.405 ; 063 ; 2019-030T09:18:25.433Z ; 1.000
-1.258 ; 10.404 ; 164 ; 2019-134T04:30:44.771Z ; 1.000
-1.257 ; 14.117 ; 213 ; 2019-184T16:21:36.279Z ; 1.000
-1.257 ; 14.683 ; 216 ; 2019-187T18:54:18.505Z ; 1.000
-1.256 ; 13.629 ; 204 ; 2019-175T09:58:16.228Z ; 1.000
-1.243 ;  9.457 ; 034 ; 2018-365T14:11:38.331Z ; 1.000
-1.241 ; 12.098 ; 204 ; 2019-175T08:23:56.943Z ; 1.000
-1.240 ;  9.882 ; 016 ; 2018-347T02:40:25.825Z ; 1.000
-1.235 ; 12.485 ; 185 ; 2019-155T20:22:26.536Z ; 1.000
-1.233 ; 13.668 ; 037 ; 2019-003T20:30:33.987Z ; 0.671
-1.232 ; 12.630 ; 166 ; 2019-136T08:06:18.284Z ; 1.000
-1.231 ; 11.684 ; 171 ; 2019-141T10:24:05.623Z ; 0.996
-1.230 ; 10.183 ; 192 ; 2019-162T22:35:06.053Z ; 1.000
-1.223 ; 10.137 ; 141 ; 2019-110T13:12:20.284Z ; 1.000
-1.222 ; 13.447 ; 138 ; 2019-107T14:38:41.772Z ; 1.000
-1.222 ; 14.788 ; 084 ; 2019-052T04:39:07.752Z ; 1.000
-1.222 ; 16.317 ; 178 ; 2019-148T19:44:06.002Z ; 1.000
-1.218 ;  9.869 ; 039 ; 2019-005T17:55:47.741Z ; 1.000
-1.216 ; 12.621 ; 103 ; 2019-071T14:53:27.350Z ; 1.000
-1.214 ; 13.085 ; 054 ; 2019-021T07:09:06.402Z ; 1.000
-1.209 ; 13.039 ; 199 ; 2019-170T06:05:45.208Z ; 1.000
-1.205 ; 12.412 ; 204 ; 2019-175T08:43:17.418Z ; 1.000
-1.203 ; 11.951 ; 211 ; 2019-182T12:49:35.661Z ; 1.000
-1.203 ; 12.021 ; 116 ; 2019-084T22:47:16.739Z ; 1.000
-1.201 ; 11.214 ; 041 ; 2019-007T20:38:12.408Z ; 1.000
-1.201 ; 12.367 ; 187 ; 2019-157T21:33:36.365Z ; 1.000
-1.195 ; 11.634 ; 023 ; 2018-354T09:07:49.518Z ; 1.000
-1.189 ; 12.937 ; 154 ; 2019-124T00:34:43.599Z ; 1.000
-1.186 ; 12.352 ; 083 ; 2019-051T01:29:34.040Z ; 1.000
-1.186 ; 12.858 ; 202 ; 2019-173T07:52:16.963Z ; 1.000
-1.184 ; 11.347 ; 179 ; 2019-149T15:16:59.860Z ; 1.000
-1.184 ; 11.866 ; 038 ; 2019-004T19:19:13.050Z ; 1.000
-1.182 ; 10.756 ; 177 ; 2019-147T13:22:08.386Z ; 1.000
-1.182 ; 11.432 ; 020 ; 2018-351T06:55:42.621Z ; 1.000
-1.173 ; 12.848 ; 038 ; 2019-004T20:19:44.982Z ; 1.000
-1.173 ; 13.065 ; 181 ; 2019-151T18:21:17.069Z ; 1.000
-1.171 ; 11.315 ; 208 ; 2019-179T10:12:39.579Z ; 1.000
-1.169 ; 12.885 ; 198 ; 2019-169T05:16:59.694Z ; 1.000
-1.168 ; 15.251 ; 016 ; 2018-347T08:11:30.948Z ; 1.000
-1.163 ; 11.761 ; 073 ; 2019-040T18:18:41.735Z ; 1.000
-1.163 ; 12.551 ; 113 ; 2019-081T21:22:06.902Z ; 1.000
-1.161 ; 10.237 ; 029 ; 2018-360T11:40:46.181Z ; 1.000
-1.158 ; 15.197 ; 069 ; 2019-036T19:12:33.643Z ; 1.000
-1.156 ; 11.240 ; 215 ; 2019-186T14:42:49.251Z ; 1.000
-1.156 ; 11.571 ; 197 ; 2019-168T03:16:46.592Z ; 1.000
-1.154 ; 13.672 ; 024 ; 2018-355T11:53:19.911Z ; 1.000
-1.152 ; 14.074 ; 204 ; 2019-175T10:25:43.099Z ; 1.000
-1.151 ; 11.447 ; 215 ; 2019-186T14:55:36.431Z ; 1.000
-1.147 ;  9.592 ; 016 ; 2018-347T02:22:31.848Z ; 1.000
-1.144 ; 11.479 ; 028 ; 2018-359T12:17:29.250Z ; 1.000
-1.143 ; 10.854 ; 113 ; 2019-081T19:37:33.527Z ; 1.000
-1.140 ; 12.074 ; 188 ; 2019-158T21:54:44.373Z ; 1.000
-1.137 ; 16.089 ; 167 ; 2019-137T12:18:45.863Z ; 1.000
-1.136 ; 14.865 ; 061 ; 2019-028T13:35:54.394Z ; 1.000
-1.134 ; 11.478 ; 169 ; 2019-139T08:52:55.217Z ; 1.000
-1.134 ; 13.553 ; 052 ; 2019-019T06:18:42.895Z ; 1.000
-1.127 ; 11.228 ; 209 ; 2019-180T10:46:33.704Z ; 1.000
-1.126 ; 10.096 ; 043 ; 2019-009T20:48:40.028Z ; 1.000
-1.126 ; 13.487 ; 117 ; 2019-086T00:56:58.553Z ; 1.000
-1.126 ; 15.739 ; 063 ; 2019-030T15:48:51.065Z ; 1.000
-1.119 ; 12.366 ; 079 ; 2019-046T22:52:44.128Z ; 1.000
-1.118 ; 14.245 ; 094 ; 2019-062T10:39:28.975Z ; 1.000
-1.116 ; 15.136 ; 019 ; 2018-350T10:04:12.459Z ; 1.000
-1.109 ; 13.733 ; 089 ; 2019-057T06:51:04.487Z ; 1.000
-1.103 ;  9.294 ; 201 ; 2019-172T03:33:23.220Z ; 1.000
-1.098 ; 12.204 ; 206 ; 2019-177T09:48:58.624Z ; 1.000
-1.094 ;  9.747 ; 214 ; 2019-185T12:31:33.052Z ; 1.000
-1.094 ; 11.014 ; 083 ; 2019-051T00:07:04.139Z ; 1.000
-1.093 ;  9.119 ; 072 ; 2019-039T14:56:23.942Z ; 1.000
-1.085 ; 13.025 ; 132 ; 2019-101T10:17:16.678Z ; 1.000
-1.083 ; 14.024 ; 219 ; 2019-190T20:11:27.079Z ; 1.000
-1.083 ; 14.602 ; 035 ; 2019-001T20:08:38.223Z ; 1.000
-1.078 ;  9.908 ; 171 ; 2019-141T08:34:36.572Z ; 0.996
-1.077 ; 12.096 ; 178 ; 2019-148T15:23:58.193Z ; 1.000
-1.075 ; 10.562 ; 153 ; 2019-122T21:29:09.982Z ; 1.000
-1.075 ; 12.846 ; 020 ; 2018-351T08:22:53.500Z ; 1.000
-1.072 ; 12.724 ; 218 ; 2019-189T18:12:04.677Z ; 1.000
-1.071 ; 10.884 ; 108 ; 2019-076T16:22:55.146Z ; 0.996
-1.068 ; 11.409 ; 215 ; 2019-186T14:53:13.235Z ; 1.000
-1.068 ; 12.482 ; 044 ; 2019-010T23:55:29.786Z ; 1.000
-1.067 ; 11.494 ; 113 ; 2019-081T20:16:57.978Z ; 1.000
-1.066 ; 11.183 ; 180 ; 2019-150T15:46:06.826Z ; 1.000
-1.065 ; 13.427 ; 167 ; 2019-137T09:34:38.533Z ; 1.000
-1.063 ; 14.409 ; 050 ; 2019-017T05:52:17.051Z ; 1.000
-1.057 ;  8.782 ; 184 ; 2019-154T15:54:59.975Z ; 1.000
-1.043 ; 12.464 ; 190 ; 2019-160T23:37:13.275Z ; 1.000
-1.034 ;  9.515 ; 214 ; 2019-185T12:17:14.974Z ; 1.000
-1.023 ; 13.003 ; 190 ; 2019-161T00:10:29.129Z ; 1.000
-1.022 ; 11.515 ; 141 ; 2019-110T14:37:16.188Z ; 1.000
-1.020 ; 14.271 ; 208 ; 2019-179T13:14:51.711Z ; 1.000
-1.017 ; 12.926 ; 201 ; 2019-172T07:17:14.297Z ; 1.000
-1.015 ; 12.940 ; 018 ; 2018-349T07:08:52.210Z ; 1.000
-1.012 ; 13.437 ; 029 ; 2018-360T14:58:02.434Z ; 1.000
-1.011 ; 10.922 ; 212 ; 2019-183T12:25:26.049Z ; 1.000
-1.004 ; 11.858 ; 187 ; 2019-157T21:02:13.712Z ; 1.000
-1.003 ; 11.903 ; 206 ; 2019-177T09:30:25.052Z ; 1.000
-1.001 ; 11.894 ; 014 ; 2018-345T03:32:56.553Z ; 0.790
-0.997 ; 15.234 ; 074 ; 2019-041T22:32:17.063Z ; 1.000
-0.996 ; 11.174 ; 168 ; 2019-138T07:55:01.515Z ; 1.000
-0.995 ;  9.561 ; 185 ; 2019-155T17:22:12.424Z ; 1.000
-0.994 ; 10.906 ; 220 ; 2019-191T17:38:35.129Z ; 1.000
-0.994 ; 12.121 ; 218 ; 2019-189T17:34:54.532Z ; 1.000
-0.994 ; 12.884 ; 206 ; 2019-177T10:30:51.964Z ; 1.000
-0.988 ; 13.259 ; 151 ; 2019-120T22:56:55.590Z ; 1.000
-0.987 ; 11.780 ; 206 ; 2019-177T09:22:50.563Z ; 1.000
-0.985 ; 13.210 ; 014 ; 2018-345T04:54:04.935Z ; 0.790
-0.984 ; 10.859 ; 176 ; 2019-146T12:49:17.637Z ; 1.000
-0.982 ; 11.726 ; 156 ; 2019-126T00:38:32.118Z ; 1.000
-0.978 ; 12.707 ; 117 ; 2019-086T00:08:54.102Z ; 1.000
-0.977 ; 14.671 ; 034 ; 2018-365T19:33:09.918Z ; 1.000
-0.976 ; 10.968 ; 077 ; 2019-044T20:07:39.006Z ; 1.000
-0.974 ; 13.289 ; 019 ; 2018-350T08:10:16.591Z ; 1.000
-0.973 ; 10.547 ; 102 ; 2019-070T12:06:15.129Z ; 1.000
-0.972 ; 15.041 ; 052 ; 2019-019T07:50:28.793Z ; 1.000
-0.968 ; 13.060 ; 217 ; 2019-188T18:01:49.824Z ; 0.543
-0.964 ; 10.651 ; 023 ; 2018-354T08:07:10.107Z ; 1.000
-0.960 ; 10.585 ; 061 ; 2019-028T09:12:02.737Z ; 1.000
-0.956 ; 10.301 ; 067 ; 2019-034T12:51:43.714Z ; 1.000
-0.956 ; 12.311 ; 095 ; 2019-063T09:19:36.789Z ; 1.000
-0.953 ; 11.963 ; 024 ; 2018-355T10:07:58.059Z ; 1.000
-0.951 ; 11.283 ; 060 ; 2019-027T09:15:33.347Z ; 1.000
-0.951 ; 14.614 ; 041 ; 2019-008T00:07:51.186Z ; 1.000
-0.946 ; 13.985 ; 168 ; 2019-138T10:48:16.908Z ; 1.000
-0.941 ; 10.506 ; 116 ; 2019-084T21:13:56.855Z ; 1.000
-0.941 ; 13.669 ; 186 ; 2019-156T22:14:37.361Z ; 1.000
-0.940 ; 10.493 ; 160 ; 2019-130T01:59:21.869Z ; 1.000
-0.939 ; 13.278 ; 186 ; 2019-156T21:50:29.093Z ; 1.000
-0.937 ; 13.964 ; 081 ; 2019-049T01:50:04.190Z ; 1.000
-0.935 ; 11.316 ; 201 ; 2019-172T05:38:01.539Z ; 1.000
-0.935 ; 13.164 ; 203 ; 2019-174T08:50:23.699Z ; 1.000
-0.934 ;  9.595 ; 191 ; 2019-161T21:19:37.296Z ; 1.000
-0.934 ; 14.141 ; 021 ; 2018-352T10:22:35.833Z ; 1.000
-0.933 ; 11.764 ; 161 ; 2019-131T03:56:55.223Z ; 1.000
-0.932 ; 14.881 ; 056 ; 2019-023T10:19:03.350Z ; 1.000
-0.928 ; 12.569 ; 143 ; 2019-112T17:00:40.556Z ; 1.000
-0.926 ;  9.433 ; 117 ; 2019-085T20:47:04.343Z ; 1.000
-0.926 ; 10.155 ; 186 ; 2019-156T18:38:01.480Z ; 1.000
-0.924 ; 12.707 ; 014 ; 2018-345T04:23:06.476Z ; 0.790
-0.924 ; 15.670 ; 167 ; 2019-137T11:52:53.887Z ; 1.000
-0.920 ; 13.698 ; 123 ; 2019-092T05:05:32.529Z ; 1.000
-0.919 ; 13.495 ; 157 ; 2019-127T03:06:45.677Z ; 1.000
-0.918 ; 10.984 ; 147 ; 2019-116T17:59:52.804Z ; 1.000
